epoch,reconstruction_loss,kl_divergence
1,32761.432989905385,5602.577909964234
2,29110.41808535448,4647.375431540679
3,28452.167743869937,4187.2467756779715
4,28155.66656949627,3873.463020763926
5,28021.403422341416,3603.453808489639
6,27955.124187933103,3380.513441789379
7,27937.24524420309,3189.761823902252
8,27935.724176272655,3019.2232783140657
9,27957.62463769323,2863.1357874758464
10,27988.514209088487,2726.9438325601345
11,28026.041153051705,2593.4013135702626
12,28072.216651119405,2482.176889773371
13,28123.456027618602,2378.736573567014
14,28165.166373767323,2284.484220394956
15,28213.34514925373,2199.028526192281
16,28192.147796175374,2181.914508616238
17,28177.85304920709,2168.5856808660383
18,28161.54323527452,2155.5922872384726
19,28142.57989905384,2150.2174348160147
20,28126.40550872868,2141.183859233409
21,28119.587778184967,2128.4676198735674
22,28104.81172124867,2126.092190415112
23,28089.428588086354,2121.86481636877
24,28072.551780716953,2120.895116094333
25,28062.812908115673,2116.5741732013757
26,28051.89966601146,2111.2793780816896
27,28040.864189099146,2108.421922630847
28,28031.450093283584,2103.6638503735508
29,28021.628414845414,2101.935177801006
30,28015.781541511195,2101.1971289791277
